ens_gene,Symbol,Uniq_syms,entrez,Gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
CYTB,CYTB,CYTB,17711,cytochrome b,78894.53423,-0.430528079,0.095069872,1.04E-07,6.35E-05
Tnfrsf25,Tnfrsf25,Tnfrsf25,85030,"tumor necrosis factor receptor superfamily, member 25",549.180313,0.594987677,0.132708285,1.08E-07,6.35E-05
Ncf4,Ncf4,Ncf4,17972,neutrophil cytosolic factor 4,3139.22525,0.356477969,0.093520832,3.70E-07,1.96E-04
Anxa5,Anxa5,Anxa5,11747,annexin A5,4697.440743,0.335941603,0.090860813,3.72E-07,1.96E-04
1600014C10Rik,1600014C10Rik,1600014C10Rik,72244,RIKEN cDNA 1600014C10 gene,3390.787494,0.360897276,0.094290077,3.80E-07,1.96E-04
Jpt1,Jpt1,Jpt1,15374,Jupiter microtubule associated homolog 1,13689.23007,0.398049512,0.101847873,5.08E-07,2.41E-04
ENSMUSG00000103772.1,NA,ENSMUSG00000103772.1,NA,NA,314.5356539,-0.595272359,0.150503722,5.16E-07,2.41E-04
ENSMUSG00000064339.1,NA,ENSMUSG00000064339.1,NA,NA,172309.8043,-0.528431204,0.129344503,5.26E-07,2.41E-04
ENSMUSG00000100170.1,NA,ENSMUSG00000100170.1,NA,NA,25.02261027,-1.87229933,0.666603889,6.20E-07,NA
Mboat1,Mboat1,Mboat1,218121,membrane bound O-acyltransferase domain containing 1,333.7932167,0.620536363,0.163562908,6.30E-07,2.79E-04
Serpinb9b,Serpinb9b,Serpinb9b,20706,"serine (or cysteine) peptidase inhibitor, clade B, member 9b",53.94751208,-1.709125457,0.638727663,9.36E-07,4.00E-04
Btf3,Btf3,Btf3,218490,basic transcription factor 3,2249.227667,-0.32794071,0.096989948,9.71E-07,4.01E-04
ENSMUSG00000087066.1,NA,ENSMUSG00000087066.1,NA,NA,136.5018279,-0.717930944,0.226388675,1.16E-06,4.64E-04
ENSMUSG00000098425.1,NA,ENSMUSG00000098425.1,NA,NA,78.32794765,-1.382370757,0.511525509,1.20E-06,4.65E-04
P2ry12,P2ry12,P2ry12,70839,"purinergic receptor P2Y, G-protein coupled 12",292.9479448,-0.548490001,0.149604468,1.39E-06,5.22E-04
Ifitm1,Ifitm1,Ifitm1,68713,interferon induced transmembrane protein 1,1348.953789,-0.730831356,0.242908328,1.51E-06,5.52E-04
Npm3,Npm3,Npm3,18150,nucleoplasmin 3,725.5873619,-0.448213517,0.125357459,1.85E-06,6.56E-04
Ddx6,Ddx6,Ddx6,13209,DEAD-box helicase 6,8688.545356,-0.335634865,0.105699411,2.17E-06,7.46E-04
Clec2d,Clec2d,Clec2d,93694,"C-type lectin domain family 2, member d",1705.300421,-0.636653084,0.204281208,2.41E-06,8.01E-04
ENSMUSG00000097971.3,NA,ENSMUSG00000097971.3,NA,NA,48579.52549,-0.527394941,0.152988439,2.46E-06,8.01E-04
ENSMUSG00000105031.1,NA,ENSMUSG00000105031.1,NA,NA,3330.157525,-0.338046076,0.109755215,3.04E-06,9.65E-04
Ifit3b,Ifit3b,Ifit3b,667370,interferon-induced protein with tetratricopeptide repeats 3B,377.7854994,0.589391431,0.189147263,3.40E-06,0.001053545
Klrc2,Klrc2,Klrc2,16642,"killer cell lectin-like receptor subfamily C, member 2",2511.626066,-0.341412183,0.114481912,4.28E-06,0.001263949
Atp1a1,Atp1a1,Atp1a1,11928,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",10025.13634,-0.36487215,0.119379477,4.28E-06,0.001263949
Lars2,Lars2,Lars2,102436,"leucyl-tRNA synthetase, mitochondrial",44063.97602,-0.32989913,0.112498211,4.45E-06,0.001283077
Mir6236,Mir6236,Mir6236,102465959,microRNA 6236,2322.355245,-0.510825066,0.161767578,4.73E-06,0.00133208
Abcg1,Abcg1,Abcg1,11307,ATP binding cassette subfamily G member 1,1777.266928,-0.469387822,0.149603948,5.32E-06,0.001464788
Lrrk1,Lrrk1,Lrrk1,233328,leucine-rich repeat kinase 1,3392.225823,-0.294902294,0.106961871,5.69E-06,0.001533032
ENSMUSG00000064337.1,NA,ENSMUSG00000064337.1,NA,NA,24725.59007,-0.405388323,0.135489037,6.60E-06,0.001740066
Irf2bp2,Irf2bp2,Irf2bp2,270110,interferon regulatory factor 2 binding protein 2,1361.961303,0.371757404,0.128579205,7.17E-06,0.001851766
Ehd3,Ehd3,Ehd3,57440,EH-domain containing 3,6643.278019,0.285455448,0.10740899,7.53E-06,0.001903911
ENSMUSG00000106106.2,NA,ENSMUSG00000106106.2,NA,NA,31029.80774,-0.798194985,0.401110096,7.91E-06,0.001961549
Tgtp2,Tgtp2,Tgtp2,100039796,T cell specific GTPase 2,3060.890028,0.414168895,0.143632005,8.85E-06,0.002150603
Rsu1,Rsu1,Rsu1,20163,Ras suppressor protein 1,3362.032999,0.22522029,0.089584305,1.20E-05,0.002861624
Ybx1,Ybx1,Ybx1,22608,Y box protein 1,4547.521514,-0.275830463,0.110671766,1.29E-05,0.003022099
Abcb1a,Abcb1a,Abcb1a,18671,"ATP-binding cassette, sub-family B member 1A",1239.541665,-0.389424103,0.145177917,1.34E-05,0.003084483
Pdcd1,Pdcd1,Pdcd1,18566,programmed cell death 1,1391.206026,-0.403670446,0.150308113,1.38E-05,0.003089689
Ier3,Ier3,Ier3,15937,immediate early response 3,640.4449874,-0.453415683,0.169142226,1.40E-05,0.003089689
Mir150,Mir150,Mir150,387168,microRNA 150,1218.693328,0.368928013,0.140168728,1.42E-05,0.003089689
Tcf7,Tcf7,Tcf7,21414,"transcription factor 7, T cell specific",5020.76927,0.329230787,0.129199374,1.47E-05,0.003110991
Ldlr,Ldlr,Ldlr,16835,low density lipoprotein receptor,97.94302494,0.797248999,0.492162725,1.48E-05,0.003110991
Lin37,Lin37,Lin37,75660,lin-37 DREAM MuvB core complex component,2125.997172,0.277789874,0.113368051,1.52E-05,0.003133049
Slc7a5,Slc7a5,Slc7a5,20539,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5",522.281819,-0.439279505,0.167316162,1.60E-05,0.00316677
Dennd3,Dennd3,Dennd3,105841,DENN domain containing 3,330.3772303,-0.432725808,0.164757506,1.60E-05,0.00316677
Rps2-ps10,Rps2-ps10,Rps2-ps10,667279,"ribosomal protein S2, pseudogene 10",466.9205392,-0.483382491,0.18872777,1.61E-05,0.00316677
Hnrnpa0,Hnrnpa0,Hnrnpa0,77134,heterogeneous nuclear ribonucleoprotein A0,2697.671988,-0.380517873,0.147229135,1.67E-05,0.003239177
Klf10,Klf10,Klf10,21847,Kruppel-like transcription factor 10,3617.71112,0.375782972,0.149321343,1.96E-05,0.003725618
Mgst2,Mgst2,Mgst2,211666,microsomal glutathione S-transferase 2,2361.735109,0.404808953,0.160308424,2.01E-05,0.003725618
COX1,COX1,COX1,17708,cytochrome c oxidase subunit I,127971.86,-0.277900974,0.117382106,2.03E-05,0.003725618
Ifi27l2a,Ifi27l2a,Ifi27l2a,76933,"interferon, alpha-inducible protein 27 like 2A",3655.899434,0.420724341,0.167172956,2.04E-05,0.003725618
Oasl2,Oasl2,Oasl2,23962,2'-5' oligoadenylate synthetase-like 2,39.95571066,0.832117495,0.618682756,2.09E-05,0.003746578
ENSMUSG00000088609.1,NA,ENSMUSG00000088609.1,NA,NA,670.6599412,-0.593517214,0.315665406,2.23E-05,0.003914345
Trerf1,Trerf1,Trerf1,224829,transcriptional regulating factor 1,513.8514936,0.43526694,0.176718535,2.24E-05,0.003914345
Usp18,Usp18,Usp18,24110,ubiquitin specific peptidase 18,551.574355,0.460409671,0.191137617,2.31E-05,0.003983436
Itgax,Itgax,Itgax,16411,integrin alpha X,12823.64319,-0.232317333,0.099968173,2.37E-05,0.004024416
Rarg,Rarg,Rarg,19411,"retinoic acid receptor, gamma",327.9020979,0.464736904,0.209830672,3.17E-05,0.005318181
Klrb1c,Klrb1c,Klrb1c,17059,killer cell lectin-like receptor subfamily B member 1C,2246.813854,-0.417108261,0.182947473,3.37E-05,0.005569991
Arhgap21,Arhgap21,Arhgap21,71435,Rho GTPase activating protein 21,259.1633222,0.421941499,0.19009182,3.75E-05,0.006115852
Cad,Cad,Cad,69719,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",633.8724825,-0.323276669,0.145683891,3.83E-05,0.006162454
Klrd1,Klrd1,Klrd1,16643,"killer cell lectin-like receptor, subfamily D, member 1",16032.26171,-0.27236622,0.125309817,3.93E-05,0.006243573
Chmp4b,Chmp4b,Chmp4b,75608,charged multivesicular body protein 4B,1681.104489,-0.384477071,0.172887379,3.99E-05,0.006268289
Sun1,Sun1,Sun1,77053,Sad1 and UNC84 domain containing 1,4189.542732,0.289760031,0.133900067,4.19E-05,0.006485781
Adam19,Adam19,Adam19,11492,ADAM metallopeptidase domain 19,3009.459601,-0.324427279,0.150250395,4.56E-05,0.006973586
Gzmb,Gzmb,Gzmb,14939,granzyme B,18210.96725,-0.241619654,0.113991994,4.83E-05,0.007299589
Rpl30,Rpl30,Rpl30,19946,ribosomal protein L30,3082.893099,-0.322534952,0.151851567,5.02E-05,0.007501759
Sgms1,Sgms1,Sgms1,208449,sphingomyelin synthase 1,1502.745813,0.352523557,0.166589221,5.23E-05,0.007723199
Pvt1,Pvt1,Pvt1,19296,Pvt1 oncogene,505.2397474,-0.370381228,0.182263351,6.28E-05,0.009152206
Rab5c,Rab5c,Rab5c,19345,"RAB5C, member RAS oncogene family",2686.784434,-0.344603615,0.169716282,6.51E-05,0.009378634
Ptma,Ptma,Ptma,19231,prothymosin alpha,7041.48541,-0.220745452,0.106891648,6.60E-05,0.009398338
Plxdc2,Plxdc2,Plxdc2,67448,plexin domain containing 2,263.7664988,0.442302655,0.248487506,6.91E-05,0.009727301
Sh3gl1,Sh3gl1,Sh3gl1,20405,SH3-domain GRB2-like 1,7008.795202,0.176167458,0.077202567,7.40E-05,0.01031007
Rasa4,Rasa4,Rasa4,54153,RAS p21 protein activator 4,340.8637864,0.381762766,0.200323302,7.93E-05,0.010917975
St6gal1,St6gal1,St6gal1,20440,"beta galactoside alpha 2,6 sialyltransferase 1",146.1747539,0.49648137,0.42952366,8.22E-05,0.011200569
Egr2,Egr2,Egr2,13654,early growth response 2,47.80893157,0.497163231,0.439716425,8.35E-05,0.011244409
Gm10076,Gm10076,Gm10076,100126819,ribosomal protein L41 pseudogene,8457.968556,-0.330078712,0.17082775,8.46E-05,0.011270622
Insr,Insr,Insr,16337,insulin receptor,148.7001815,0.446717879,0.295515033,8.86E-05,0.011679733
Rpl27a,Rpl27a,Rpl27a,26451,ribosomal protein L27A,5474.799978,-0.276137812,0.144904059,9.46E-05,0.012343407
Klrc1,Klrc1,Klrc1,16641,"killer cell lectin-like receptor subfamily C, member 1",32425.13355,-0.302580612,0.159844892,9.64E-05,0.012442958
H4c4,H4c4,H4c4,319156,H4 clustered histone 4,194.1726984,-0.455357689,0.384421009,1.03E-04,0.013214941
Dtx1,Dtx1,Dtx1,14357,"deltex 1, E3 ubiquitin ligase",2815.203894,-0.27679423,0.148297445,1.07E-04,0.013501394
Vapb,Vapb,Vapb,56491,"vesicle-associated membrane protein, associated protein B and C",1176.527556,-0.394368175,0.23669881,1.11E-04,0.013938798
Rps2,Rps2,Rps2,16898,ribosomal protein S2,14367.25716,-0.218000479,0.11502409,1.21E-04,0.015040621
ENSMUSG00000085525.7,NA,ENSMUSG00000085525.7,NA,NA,49.57606749,0.419677294,0.664823381,1.26E-04,0.015454513
Airn,Airn,Airn,104103,antisense Igf2r RNA,179.8425182,-0.398294665,0.271294152,1.35E-04,0.016213284
Rnf130,Rnf130,Rnf130,59044,ring finger protein 130,460.697896,0.313263012,0.178524495,1.37E-04,0.016213284
H2ac8,H2ac8,H2ac8,319166,H2A clustered histone 8,111.38782,-0.430965839,0.513157987,1.37E-04,0.016213284
Pi4k2b,Pi4k2b,Pi4k2b,67073,phosphatidylinositol 4-kinase type 2 beta,310.5635755,0.332635553,0.192403698,1.37E-04,0.016213284
ENSMUSG00000113631.1,NA,ENSMUSG00000113631.1,NA,NA,434.4328431,-0.287030591,0.162245356,1.40E-04,0.016379
Sema7a,Sema7a,Sema7a,20361,"sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A",36.10987927,-0.415133465,0.494833409,1.50E-04,0.017413791
Espn,Espn,Espn,56226,espin,103.3551797,0.396844708,0.328211586,1.59E-04,0.018085214
Triobp,Triobp,Triobp,110253,TRIO and F-actin binding protein,1416.716409,0.208613309,0.113272881,1.59E-04,0.018085214
Tjp2,Tjp2,Tjp2,21873,tight junction protein 2,239.6584494,-0.348899543,0.219719503,1.68E-04,0.018668316
Rundc3a,Rundc3a,Rundc3a,51799,RUN domain containing 3A,135.9775012,0.364741037,0.240583975,1.68E-04,0.018668316
Cmpk2,Cmpk2,Cmpk2,22169,cytidine/uridine monophosphate kinase 2,912.8926517,0.3546942,0.227093162,1.69E-04,0.018668316
Pros1,Pros1,Pros1,19128,protein S (alpha),98.96972076,0.386819907,0.339297478,1.76E-04,0.019297953
ENSMUSG00000110279.1,NA,ENSMUSG00000110279.1,NA,NA,4536.258683,0.234627283,0.134465021,1.78E-04,0.019361365
Cst7,Cst7,Cst7,13011,cystatin F (leukocystatin),6052.444022,-0.175570608,0.08821538,1.80E-04,0.019438127
ENSMUSG00000083863.1,NA,ENSMUSG00000083863.1,NA,NA,237.5952624,-0.333070072,0.209477696,1.83E-04,0.019548011
Ly6c2,Ly6c2,Ly6c2,100041546,lymphocyte antigen 6 family memberC2,56435.99829,-0.1875636,0.099862385,1.93E-04,0.020426735
Sbk1,Sbk1,Sbk1,104175,SH3-binding kinase 1,3037.698503,0.198910352,0.110101089,2.01E-04,0.021088829
Fam234a,Fam234a,Fam234a,106581,"family with sequence similarity 234, member A",697.9792302,0.263869712,0.158699675,2.03E-04,0.021128814
Cnrip1,Cnrip1,Cnrip1,380686,cannabinoid receptor interacting protein 1,277.5789943,0.312018512,0.196578031,2.05E-04,0.021130448
Ccr5,Ccr5,Ccr5,12774,C-C motif chemokine receptor 5,5655.366711,-0.23533378,0.138662926,2.06E-04,0.021148237
Slc39a13,Slc39a13,Slc39a13,68427,"solute carrier family 39 (metal ion transporter), member 13",496.5883553,0.25844969,0.156598862,2.15E-04,0.02179743
BC147527,BC147527,BC147527,625360,cDNA sequence BC147527,1188.299192,0.202233612,0.1154223,2.28E-04,0.02301938
Cyp51,Cyp51,Cyp51,13121,"cytochrome P450, family 51",482.0755133,0.275361044,0.174581451,2.46E-04,0.024303821
Tecr,Tecr,Tecr,106529,"trans-2,3-enoyl-CoA reductase",5993.800561,0.174647934,0.092379758,2.46E-04,0.024303821
Rcc2,Rcc2,Rcc2,108911,regulator of chromosome condensation 2,1576.887832,-0.205082542,0.119471661,2.47E-04,0.024303821
Chsy1,Chsy1,Chsy1,269941,chondroitin sulfate synthase 1,10966.04481,-0.190848176,0.107560596,2.50E-04,0.0244315
Hsd17b11,Hsd17b11,Hsd17b11,114664,hydroxysteroid (17-beta) dehydrogenase 11,864.6451077,0.257143406,0.162741647,2.64E-04,0.025569229
S100a8,S100a8,S100a8,20201,S100 calcium binding protein A8 (calgranulin A),13.94055041,-0.113641029,0.555469991,2.84E-04,NA
Pkp4,Pkp4,Pkp4,227937,plakophilin 4,416.9797491,-0.305585006,0.212378468,2.85E-04,0.027434301
ENSMUSG00000105987.4,NA,ENSMUSG00000105987.4,NA,NA,2947.462686,-0.159145366,0.079754297,2.94E-04,0.02803772
F2rl2,F2rl2,F2rl2,14064,coagulation factor II thrombin receptor like 2,1159.281261,-0.202442377,0.121870565,3.02E-04,0.028605271
Gm2a,Gm2a,Gm2a,14667,GM2 ganglioside activator protein,6906.860999,0.171059908,0.093345049,3.17E-04,0.029725339
Myl12a,Myl12a,Myl12a,67268,"myosin, light chain 12A, regulatory, non-sarcomeric",7172.234341,-0.154933017,0.076635681,3.21E-04,0.02992948
Htra2,Htra2,Htra2,64704,HtrA serine peptidase 2,539.7687646,0.244360289,0.160617024,3.32E-04,0.030733211
Setd5,Setd5,Setd5,72895,SET domain containing 5,2494.458504,-0.241433035,0.159728355,3.47E-04,0.031851826
Gm15500,Gm15500,Gm15500,100043295,ribosomal protein L5 pseudogene,697.0755044,-0.313345786,0.257112208,3.49E-04,0.031851826
Eif3f,Eif3f,Eif3f,66085,"eukaryotic translation initiation factor 3, subunit F",5268.646912,-0.173047573,0.097996794,3.62E-04,0.03279888
Rpl41,Rpl41,Rpl41,67945,ribosomal protein L41,34572.03317,-0.237791807,0.160752261,3.88E-04,0.034893464
Snrpg,Snrpg,Snrpg,68011,small nuclear ribonucleoprotein polypeptide G,3656.776055,-0.168756321,0.096576245,4.22E-04,0.03730067
Eif4ebp1,Eif4ebp1,Eif4ebp1,13685,eukaryotic translation initiation factor 4E binding protein 1,787.8273111,0.23388191,0.160410587,4.22E-04,0.03730067
Napsa,Napsa,Napsa,16541,napsin A aspartic peptidase,118.0739713,0.295214523,0.297964067,4.26E-04,0.03730067
Trav14-3,Trav14-3,Trav14-3,547330,T cell receptor alpha variable 14-3,157.7087834,-0.294928578,0.297681965,4.27E-04,0.03730067
Rps4x,Rps4x,Rps4x,20102,"ribosomal protein S4, X-linked",10445.60758,-0.172050085,0.100971326,4.39E-04,0.038044107
Selenop,Selenop,Selenop,20363,selenoprotein P,1818.264042,0.234581411,0.163561238,4.48E-04,0.038544367
H4c14,H4c14,H4c14,97122,H4 clustered histone 14,352.9390127,-0.288882119,0.240001153,4.51E-04,0.038544367
Tex11,Tex11,Tex11,83558,testis expressed gene 11,4.48584935,-0.083019992,0.548170162,4.51E-04,NA
Nccrp1,Nccrp1,Nccrp1,233038,non-specific cytotoxic cell receptor protein 1 homolog (zebrafish),70.19864055,-0.27075973,0.352739909,4.63E-04,0.039292028
Slc44a1,Slc44a1,Slc44a1,100434,"solute carrier family 44, member 1",229.0650747,0.271678243,0.213852163,4.89E-04,0.041173248
ENSMUSG00000083757.2,NA,ENSMUSG00000083757.2,NA,NA,128.4030429,-0.283866984,0.246525285,4.92E-04,0.041173248
Sesn1,Sesn1,Sesn1,140742,sestrin 1,1958.254633,0.188128692,0.121215761,5.02E-04,0.041753683
Kcnn4,Kcnn4,Kcnn4,16534,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4",4415.867596,0.168342813,0.100361017,5.12E-04,0.042325162
Trp53i11,Trp53i11,Trp53i11,277414,transformation related protein 53 inducible protein 11,1557.829141,0.187004907,0.122065765,5.40E-04,0.044295502
Cd8b1,Cd8b1,Cd8b1,12526,CD8 subunit beta 1,33685.70363,0.170657791,0.104406466,5.44E-04,0.044391486
Rasgef1a,Rasgef1a,Rasgef1a,70727,"RasGEF domain family, member 1A",80.27952211,0.268134728,0.299341711,5.50E-04,0.04452478
Igf2r,Igf2r,Igf2r,16004,insulin-like growth factor 2 receptor,3443.886816,-0.195695092,0.132924048,5.69E-04,0.04582061
Rpsa,Rpsa,Rpsa,16785,ribosomal protein SA,14224.10922,-0.19139861,0.128764481,5.77E-04,0.045908501
Sun2,Sun2,Sun2,223697,Sad1 and UNC84 domain containing 2,1924.340943,-0.230865547,0.171560441,5.78E-04,0.045908501
ENSMUSG00000105457.1,NA,ENSMUSG00000105457.1,NA,NA,70.55171085,-0.255973738,0.306851283,5.99E-04,0.046926981
Cd68,Cd68,Cd68,12514,CD68 antigen,908.4772939,-0.207147853,0.147049607,6.00E-04,0.046926981
Rtf2,Rtf2,Rtf2,66404,replication termination factor 2,3687.411203,0.14427245,0.074779597,6.02E-04,0.046926981
ENSMUSG00000112111.1,NA,ENSMUSG00000112111.1,NA,NA,336.6266572,-0.238822629,0.184445744,6.10E-04,0.047049069
ND4,ND4,ND4,17719,NADH dehydrogenase subunit 4,13788.58964,-0.174997419,0.112328754,6.12E-04,0.047049069
Cnot9,Cnot9,Cnot9,58184,"CCR4-NOT transcription complex, subunit 9",2412.710392,0.16253109,0.097870925,6.15E-04,0.047049069
L1cam,L1cam,L1cam,16728,L1 cell adhesion molecule,1741.335435,0.168518099,0.105906136,6.38E-04,0.048499685
ENSMUSG00000075014.1,NA,ENSMUSG00000075014.1,NA,NA,52.87166647,0.227419112,0.347137672,6.56E-04,0.049550904
Meis3,Meis3,Meis3,17537,Meis homeobox 3,855.4565453,0.175914269,0.115503658,6.60E-04,0.049593673
ENSMUSG00000106717.1,NA,ENSMUSG00000106717.1,NA,NA,139.2462537,-0.243357571,0.300337924,6.85E-04,0.051176279
Dennd4a,Dennd4a,Dennd4a,102442,DENN domain containing 4A,3747.361743,-0.164783109,0.104959701,7.30E-04,0.054153509
Ppp4r1,Ppp4r1,Ppp4r1,70351,"protein phosphatase 4, regulatory subunit 1",2106.321938,0.155284434,0.093102167,7.34E-04,0.054153509
Degs1,Degs1,Degs1,13244,"delta 4-desaturase, sphingolipid 1",4163.299107,0.160269403,0.100075643,7.52E-04,0.055135685
Ptpn11,Ptpn11,Ptpn11,19247,"protein tyrosine phosphatase, non-receptor type 11",1488.085631,-0.17435532,0.117731291,7.57E-04,0.055199323
Agpat5,Agpat5,Agpat5,52123,1-acylglycerol-3-phosphate O-acyltransferase 5,903.182281,0.182734551,0.128142621,7.65E-04,0.055199323
ENSMUSG00000049124.4,NA,ENSMUSG00000049124.4,NA,NA,1997.904642,-0.202113226,0.151350544,7.66E-04,0.055199323
Kpna2,Kpna2,Kpna2,16647,karyopherin subunit alpha 2,2620.911318,0.183934556,0.130255027,7.80E-04,0.055894129
Rab3d,Rab3d,Rab3d,19340,"RAB3D, member RAS oncogene family",980.9833455,0.180669399,0.127047057,7.97E-04,0.056769257
ENSMUSG00000100744.1,NA,ENSMUSG00000100744.1,NA,NA,11.64977706,-0.111431798,0.38215845,8.07E-04,NA
Rps27rt,Rps27rt,Rps27rt,100043813,"ribosomal protein S27, retrogene",2982.159529,-0.200779561,0.15272676,8.19E-04,0.05784943
Tor3a,Tor3a,Tor3a,30935,"torsin family 3, member A",1428.38804,0.156155854,0.097064767,8.21E-04,0.05784943
Raly,Raly,Raly,19383,hnRNP-associated with lethal yellow,1731.583607,-0.170730695,0.116516778,8.41E-04,0.058896523
6330403K07Rik,6330403K07Rik,6330403K07Rik,103712,RIKEN cDNA 6330403K07 gene,371.722671,0.216471822,0.176687402,8.62E-04,0.060042646
Cd40lg,Cd40lg,Cd40lg,21947,CD40 ligand,525.8659667,0.237535551,0.223869708,8.73E-04,0.060361463
Niban2,Niban2,Niban2,227737,niban apoptosis regulator 2,918.5013385,0.181493473,0.131476547,8.76E-04,0.060361463
Luc7l2,Luc7l2,Luc7l2,192196,LUC7-like 2 (S. cerevisiae),4074.34891,-0.159267732,0.10331874,8.88E-04,0.060569818
Sec24a,Sec24a,Sec24a,77371,"SEC24 homolog A, COPII coat complex component",1327.829852,-0.185991219,0.13771783,8.89E-04,0.060569818
ENSMUSG00000085786.1,NA,ENSMUSG00000085786.1,NA,NA,53.98788414,-0.188947782,0.329155602,9.37E-04,0.063476906
Plekha1,Plekha1,Plekha1,101476,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1",548.4763232,0.217525656,0.189031522,9.83E-04,0.066229675
Inf2,Inf2,Inf2,70435,"inverted formin, FH2 and WH2 domain containing",486.2733444,0.174277421,0.127207308,0.001003567,0.067244431
Tnfsf4,Tnfsf4,Tnfsf4,22164,"tumor necrosis factor (ligand) superfamily, member 4",30.01386506,-0.169290681,0.343149361,0.001005764,NA
Zswim6,Zswim6,Zswim6,67263,zinc finger SWIM-type containing 6,1057.407746,-0.217922337,0.196925751,0.001047293,0.06979703
Trav13-4-dv7,Trav13-4-dv7,Trav13-4-dv7,100113412,T cell receptor alpha variable 13-4-DV7,161.9601233,-0.219182945,0.243979957,0.00109805,0.07278841
Ikbke,Ikbke,Ikbke,56489,inhibitor of kappaB kinase epsilon,2198.186238,0.153302785,0.102150304,0.001128316,0.074396866
ENSMUSG00000106024.1,NA,ENSMUSG00000106024.1,NA,NA,12.47094886,0.121710081,0.35313095,0.001137568,NA
Sp4,Sp4,Sp4,20688,trans-acting transcription factor 4,1712.150073,-0.148191143,0.094949175,0.001139347,0.074534876
Adamts14,Adamts14,Adamts14,237360,ADAM metallopeptidase with thrombospondin type 1 motif 14,611.9947371,-0.215517917,0.203917323,0.001142435,0.074534876
AA467197,AA467197,AA467197,433470,expressed sequence AA467197,578.3630447,-0.210596239,0.19356219,0.001168068,0.075808235
Tmem170b,Tmem170b,Tmem170b,621976,transmembrane protein 170B,970.7578991,0.181728596,0.145037893,0.001192482,0.076989621
Rpl36a,Rpl36a,Rpl36a,19982,ribosomal protein L36A,4472.930468,-0.169031488,0.127279364,0.001209961,0.077486647
Adgrg1,Adgrg1,Adgrg1,14766,adhesion G protein-coupled receptor G1,149.1849979,-0.20449689,0.256519988,0.001212682,0.077486647
Mapk11,Mapk11,Mapk11,19094,mitogen-activated protein kinase 11,315.4315725,0.186238911,0.15351241,0.001230696,0.078234404
