ens_gene	Symbol	Uniq_syms	entrez	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000071715.12	Ncf4	Ncf4	17972	neutrophil cytosolic factor 4	3139.2252500235613	0.3564779687647153	0.09352083185921334	3.704687300179977e-7	1.9629580961061705e-4
ENSMUSG00000027712.13	Anxa5	Anxa5	11747	annexin A5	4697.440742668513	0.3359416030635217	0.09086081309640108	3.7237757546064473e-7	1.9629580961061705e-4
ENSMUSG00000054676.15	1600014C10Rik	1600014C10Rik	72244	RIKEN cDNA 1600014C10 gene	3390.78749393427	0.36089727599909505	0.09429007729685944	3.8004997020448605e-7	1.9629580961061705e-4
ENSMUSG00000020737.12	Jpt1	Jpt1	15374	Jupiter microtubule associated homolog 1	13689.230071389748	0.39804951235525216	0.10184787338352219	5.081440933548997e-7	2.4145040314037876e-4
ENSMUSG00000103772.1	NA	ENSMUSG00000103772.1	NA	NA	314.53565389466513	-0.5952723575008607	0.15050372062580383	5.159340790155027e-7	2.4145040314037876e-4
ENSMUSG00000064339.1	NA	ENSMUSG00000064339.1	NA	NA	172309.80425642722	-0.5284312037546922	0.1293445024694741	5.25908428911764e-7	2.4145040314037876e-4
ENSMUSG00000100170.1	NA	ENSMUSG00000100170.1	NA	NA	25.02261027271322	-1.8722993020178575	0.6666038805213016	6.204207657779931e-7	NA
ENSMUSG00000038732.15	Mboat1	Mboat1	218121	membrane bound O-acyltransferase domain containing 1	333.7932167078811	0.6205363612169092	0.1635629069959385	6.30048196949373e-7	2.7893133747801526e-4
ENSMUSG00000021403.3	Serpinb9b	Serpinb9b	20706	serine (or cysteine) peptidase inhibitor, clade B, member 9b	53.94751208016486	-1.7091254325108354	0.6387276553777628	9.357745552522622e-7	3.999952202381739e-4
ENSMUSG00000021660.14	Btf3	Btf3	218490	basic transcription factor 3	2249.227666719582	-0.3279407104898854	0.09698994725940378	9.707956053329061e-7	4.011327441235568e-4
ENSMUSG00000087066.1	NA	ENSMUSG00000087066.1	NA	NA	136.50182792383237	-0.7179309423379518	0.226388675918355	1.161620208793065e-6	4.6449819703867204e-4
ENSMUSG00000098425.1	NA	ENSMUSG00000098425.1	NA	NA	78.32794765187165	-1.3823707575649538	0.5115255003613453	1.1996208521070757e-6	4.6470312758497846e-4
ENSMUSG00000036353.13	P2ry12	P2ry12	70839	purinergic receptor P2Y, G-protein coupled 12	292.94794477555547	-0.5484900004008013	0.14960446659616225	1.3893111107907214e-6	5.218757736170237e-4
ENSMUSG00000025491.14	Ifitm1	Ifitm1	68713	interferon induced transmembrane protein 1	1348.9537893436311	-0.730831353110943	0.2429083308513344	1.5139035581794715e-6	5.51951426682139e-4
ENSMUSG00000056209.7	Npm3	Npm3	18150	nucleoplasmin 3	725.5873618938531	-0.44821351719312463	0.1253574586611629	1.8525618283200072e-6	6.561244692529945e-4
ENSMUSG00000032097.10	Ddx6	Ddx6	13209	DEAD-box helicase 6	8688.54535634338	-0.3356348652098786	0.10569941027938685	2.1677902519879184e-6	7.464424434345065e-4
ENSMUSG00000030157.5	Clec2d	Clec2d	93694	C-type lectin domain family 2, member d	1705.3004214251873	-0.6366530803358527	0.2042812083509821	2.4144363090725514e-6	8.010591347800279e-4
ENSMUSG00000097971.3	NA	ENSMUSG00000097971.3	NA	NA	48579.52548598071	-0.5273949394359534	0.15298843850748658	2.455650784256297e-6	8.010591347800279e-4
ENSMUSG00000105031.1	NA	ENSMUSG00000105031.1	NA	NA	3330.157524611563	-0.33804607578077306	0.10975521458112554	3.035783128539614e-6	9.649119913173605e-4
ENSMUSG00000062488.9	Ifit3b	Ifit3b	667370	interferon-induced protein with tetratricopeptide repeats 3B	377.7854994401468	0.5893914281165521	0.1891472622263999	3.3996304900770638e-6	0.001053545488874882
ENSMUSG00000052736.15	Klrc2	Klrc2	16642	killer cell lectin-like receptor subfamily C, member 2	2511.626065650624	-0.34141218297666986	0.11448191186458374	4.280680938315139e-6	0.0012639490746410638
ENSMUSG00000033161.10	Atp1a1	Atp1a1	11928	ATPase, Na+/K+ transporting, alpha 1 polypeptide	10025.136344993238	-0.36487214985462224	0.11937947642404081	4.282499284843875e-6	0.0012639490746410638
ENSMUSG00000035202.8	Lars2	Lars2	102436	leucyl-tRNA synthetase, mitochondrial	44063.97601926427	-0.32989913031324236	0.11249821083664793	4.450817049300999e-6	0.0012830773986775624
ENSMUSG00000098973.1	Mir6236	Mir6236	102465959	microRNA 6236	2322.3552445347405	-0.5108250649042178	0.16176757750717616	4.7282618565740374e-6	0.001332080317592995
ENSMUSG00000024030.7	Abcg1	Abcg1	11307	ATP binding cassette subfamily G member 1	1777.2669282037762	-0.46938782201857043	0.1496039475499214	5.317477971301333e-6	0.0014647879318278071
ENSMUSG00000015133.17	Lrrk1	Lrrk1	233328	leucine-rich repeat kinase 1	3392.2258233874445	-0.29490229448988914	0.10696187011667732	5.688888538017765e-6	0.0015330317895058307
ENSMUSG00000064337.1	NA	ENSMUSG00000064337.1	NA	NA	24725.590070341786	-0.40538832327669877	0.13548903707214321	6.597538080885375e-6	0.0017400655755458532
ENSMUSG00000051495.7	Irf2bp2	Irf2bp2	270110	interferon regulatory factor 2 binding protein 2	1361.9613028062863	0.37175740453295963	0.1285792044648462	7.170440611824849e-6	0.0018517662880037672
ENSMUSG00000024065.8	Ehd3	Ehd3	57440	EH-domain containing 3	6643.278018744106	0.2854554477621095	0.10740898889499735	7.525948158712298e-6	0.001903911293375462
ENSMUSG00000106106.2	NA	ENSMUSG00000106106.2	NA	NA	31029.807743818797	-0.7981949897631115	0.40111010102896105	7.912024905292092e-6	0.0019615492145200154
ENSMUSG00000078921.3	Tgtp2	Tgtp2	100039796	T cell specific GTPase 2	3060.890028356968	0.4141688951925131	0.1436320042958705	8.848074449073541e-6	0.002150602566092463
ENSMUSG00000026727.10	Rsu1	Rsu1	20163	Ras suppressor protein 1	3362.0329988864537	0.22522029079217015	0.0895843031811843	1.200423063322027e-5	0.0028616239024884323
ENSMUSG00000028639.14	Ybx1	Ybx1	22608	Y box protein 1	4547.521514405018	-0.275830462972751	0.11067176474864723	1.292120292298372e-5	0.003022098706288796
ENSMUSG00000040584.8	Abcb1a	Abcb1a	18671	ATP-binding cassette, sub-family B member 1A	1239.5416645743953	-0.3894241036346749	0.14517791627922544	1.3436759872515535e-5	0.0030844828774018993
ENSMUSG00000026285.7	Pdcd1	Pdcd1	18566	programmed cell death 1	1391.2060263504427	-0.403670445727537	0.15030811226113655	1.380879603341142e-5	0.0030896889125875114
ENSMUSG00000003541.6	Ier3	Ier3	15937	immediate early response 3	640.4449873734522	-0.4534156825655089	0.1691422251726543	1.400353821637799e-5	0.0030896889125875114
ENSMUSG00000065495.1	Mir150	Mir150	387168	microRNA 150	1218.6933279851414	0.3689280132841232	0.14016872803223723	1.4207185222449833e-5	0.0030896889125875114
ENSMUSG00000000782.16	Tcf7	Tcf7	21414	transcription factor 7, T cell specific	5020.769270355318	0.32923078710148884	0.1291993739355001	1.4724474767333654e-5	0.0031109908802064443
ENSMUSG00000032193.9	Ldlr	Ldlr	16835	low density lipoprotein receptor	97.9430249358	0.7972490057446794	0.4921627301980293	1.4807071791882883e-5	0.0031109908802064443
ENSMUSG00000036845.12	Lin37	Lin37	75660	lin-37 DREAM MuvB core complex component	2125.9971716581813	0.2777898742632989	0.1133680504545971	1.5164806127550013e-5	0.0031330489459518327
ENSMUSG00000040010.10	Slc7a5	Slc7a5	20539	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	522.2818190176017	-0.4392795054854503	0.16731616142500375	1.598925611825885e-5	0.0031667697136931435
ENSMUSG00000036661.14	Dennd3	Dennd3	105841	DENN domain containing 3	330.37723027814195	-0.4327258086289554	0.16475750509711168	1.604811399932522e-5	0.0031667697136931435
ENSMUSG00000091957.3	Rps2-ps10	Rps2-ps10	667279	ribosomal protein S2, pseudogene 10	466.9205391775527	-0.48338249052346016	0.18872776901987895	1.609442497278703e-5	0.0031667697136931435
ENSMUSG00000007836.6	Hnrnpa0	Hnrnpa0	77134	heterogeneous nuclear ribonucleoprotein A0	2697.6719884210615	-0.38051787349756117	0.14722913461761436	1.672372747582949e-5	0.0032391769654747243
ENSMUSG00000037465.10	Klf10	Klf10	21847	Kruppel-like transcription factor 10	3617.711120223727	0.37578297233083224	0.1493213422943814	1.9602855569895244e-5	0.0037256177413178917
ENSMUSG00000074604.9	Mgst2	Mgst2	211666	microsomal glutathione S-transferase 2	2361.735109250667	0.4048089525296342	0.16030842347905824	2.0074294862234396e-5	0.0037256177413178917
ENSMUSG00000064351.1	COX1	COX1	17708	cytochrome c oxidase subunit I	127971.86000027598	-0.2779009744238418	0.11738210486749301	2.0344237289243342e-5	0.0037256177413178917
ENSMUSG00000079017.3	Ifi27l2a	Ifi27l2a	76933	interferon, alpha-inducible protein 27 like 2A	3655.8994344738253	0.42072434032031963	0.16717295601174156	2.043739967809105e-5	0.0037256177413178917
ENSMUSG00000029561.17	Oasl2	Oasl2	23962	2'-5' oligoadenylate synthetase-like 2	39.95571066384673	0.8321175091172621	0.6186827566922479	2.0854620332161568e-5	0.0037465778788039823
ENSMUSG00000088609.1	NA	ENSMUSG00000088609.1	NA	NA	670.6599412154571	-0.5935172091305903	0.3156654074494456	2.2332951670828116e-5	0.003914344831052637
ENSMUSG00000064043.13	Trerf1	Trerf1	224829	transcriptional regulating factor 1	513.8514935722307	0.4352669400893789	0.1767185341435718	2.2420013149785187e-5	0.003914344831052637
ENSMUSG00000030107.10	Usp18	Usp18	24110	ubiquitin specific peptidase 18	551.5743549876818	0.4604096700781793	0.19113761591553052	2.3137092930251617e-5	0.00398343616615832
ENSMUSG00000030789.9	Itgax	Itgax	16411	integrin alpha X	12823.64319340222	-0.23231733366894414	0.09996817197864136	2.369976838910676e-5	0.004024415465087225
ENSMUSG00000001288.15	Rarg	Rarg	19411	retinoic acid receptor, gamma	327.9020978644992	0.46473690287094976	0.2098306702329853	3.174777351456447e-5	0.005318181087655962
ENSMUSG00000030325.16	Klrb1c	Klrb1c	17059	killer cell lectin-like receptor subfamily B member 1C	2246.813854207763	-0.4171082603512079	0.18294747287975544	3.370033370595505e-5	0.005569991154920251
ENSMUSG00000036591.16	Arhgap21	Arhgap21	71435	Rho GTPase activating protein 21	259.1633222498477	0.42194150015759546	0.19009181832172906	3.749634553634092e-5	0.0061158513061642375
ENSMUSG00000013629.16	Cad	Cad	69719	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	633.8724824585362	-0.3232766705138161	0.14568389004539234	3.827919961128414e-5	0.006162454004954261
ENSMUSG00000030165.16	Klrd1	Klrd1	16643	killer cell lectin-like receptor, subfamily D, member 1	16032.261710450814	-0.2723662199925313	0.1253098165519378	3.928676288853125e-5	0.0062435732405927355
ENSMUSG00000038467.15	Chmp4b	Chmp4b	75608	charged multivesicular body protein 4B	1681.1044892219443	-0.38447707074895954	0.17288737809152746	3.994795581949021e-5	0.006268289371372159
ENSMUSG00000036817.14	Sun1	Sun1	77053	Sad1 and UNC84 domain containing 1	4189.542731736746	0.2897600310795955	0.13390006608738267	4.185725007400745e-5	0.006485780898967454
ENSMUSG00000011256.16	Adam19	Adam19	11492	ADAM metallopeptidase domain 19	3009.4596008123763	-0.32442727965313545	0.15025039409283636	4.5567965000490594e-5	0.006973586347482487
ENSMUSG00000015437.5	Gzmb	Gzmb	14939	granzyme B	18210.96724731711	-0.24161965489264575	0.11399199279727196	4.828705283974552e-5	0.007299589109774212
ENSMUSG00000058600.13	Rpl30	Rpl30	19946	ribosomal protein L30	3082.893099248242	-0.3225349526323877	0.15185156677886263	5.02295892409121e-5	0.007501758894341523
ENSMUSG00000040451.18	Sgms1	Sgms1	208449	sphingomyelin synthase 1	1502.7458130546781	0.35252355738012475	0.16658922091913725	5.233532619292776e-5	0.007723198851042054
ENSMUSG00000097039.8	Pvt1	Pvt1	19296	Pvt1 oncogene	505.2397474299103	-0.37038122840901727	0.18226334975578587	6.275713532628709e-5	0.009152205288290057
ENSMUSG00000019173.11	Rab5c	Rab5c	19345	RAB5C, member RAS oncogene family	2686.784433873097	-0.3446036146869025	0.16971628123682236	6.506635153209392e-5	0.0093786336464167
ENSMUSG00000026238.14	Ptma	Ptma	19231	prothymosin alpha	7041.485409933161	-0.220745452725456	0.10689164711769986	6.596122816556549e-5	0.009398337751038504
ENSMUSG00000026748.13	Plxdc2	Plxdc2	67448	plexin domain containing 2	263.7664987550435	0.4423026533244935	0.2484875044940987	6.905473563532804e-5	0.009727301169721892
ENSMUSG00000003200.10	Sh3gl1	Sh3gl1	20405	SH3-domain GRB2-like 1	7008.795202274085	0.17616745974736328	0.07720256601779954	7.40235683186975e-5	0.010310069133467128
ENSMUSG00000004952.13	Rasa4	Rasa4	54153	RAS p21 protein activator 4	340.8637863894621	0.3817627670257123	0.200323300999301	7.926893248579023e-5	0.01091797430104284
ENSMUSG00000022885.16	St6gal1	St6gal1	20440	beta galactoside alpha 2,6 sialyltransferase 1	146.17475392084089	0.4964813691991408	0.42952366309992895	8.22242473190932e-5	0.01120056889854373
ENSMUSG00000037868.15	Egr2	Egr2	13654	early growth response 2	47.80893156696679	0.49716323716821714	0.4397164287267475	8.345318142586802e-5	0.011244409097337607
ENSMUSG00000060143.7	Gm10076	Gm10076	100126819	ribosomal protein L41 pseudogene	8457.96855610059	-0.3300787122659905	0.1708277496043368	8.45569416351985e-5	0.011270622026988392
ENSMUSG00000005534.10	Insr	Insr	16337	insulin receptor	148.70018145741844	0.44671787718661826	0.2955150313076244	8.856848181568577e-5	0.011679732984970648
ENSMUSG00000046364.14	Rpl27a	Rpl27a	26451	ribosomal protein L27A	5474.799977792179	-0.2761378123513482	0.1449040586850681	9.459693510648163e-5	0.012343406395578382
ENSMUSG00000030167.15	Klrc1	Klrc1	16641	killer cell lectin-like receptor subfamily C, member 1	32425.133553006297	-0.3025806123076324	0.15984489200212812	9.63636654556751e-5	0.012442958301964048
ENSMUSG00000061482.7	H4c4	H4c4	319156	H4 clustered histone 4	194.17269843417097	-0.45535768597103743	0.3844210105394749	1.034082987621974e-4	0.013214940942847413
ENSMUSG00000029603.15	Dtx1	Dtx1	14357	deltex 1, E3 ubiquitin ligase	2815.2038940965526	-0.2767942308299234	0.1482974439913448	1.0673899532137276e-4	0.013501393734732008
ENSMUSG00000054455.5	Vapb	Vapb	56491	vesicle-associated membrane protein, associated protein B and C	1176.5275559554796	-0.3943681728031175	0.23669880858245312	1.1132147202215926e-4	0.013938797648350366
ENSMUSG00000044533.15	Rps2	Rps2	16898	ribosomal protein S2	14367.257155709623	-0.21800047983025117	0.1150240894997946	1.2133446689470858e-4	0.015040620516268075
ENSMUSG00000085525.7	NA	ENSMUSG00000085525.7	NA	NA	49.576067489384364	0.41967729030009604	0.66482337423692	1.2592012199660725e-4	0.01545451319079152
ENSMUSG00000078247.5	Airn	Airn	104103	antisense Igf2r RNA	179.84251816764476	-0.39829466354968907	0.2712941501897239	1.3534455879312668e-4	0.016213283177271175
ENSMUSG00000020376.17	Rnf130	Rnf130	59044	ring finger protein 130	460.6978959622053	0.31326301365642983	0.17852449380163923	1.371184969211983e-4	0.016213283177271175
ENSMUSG00000069272.6	H2ac8	H2ac8	319166	H2A clustered histone 8	111.38781998094214	-0.4309658405128382	0.5131579907129399	1.3727367681711097e-4	0.016213283177271175
ENSMUSG00000029186.12	Pi4k2b	Pi4k2b	67073	phosphatidylinositol 4-kinase type 2 beta	310.5635755295073	0.3326355540913738	0.1924036973357128	1.3733419922664353e-4	0.016213283177271175
ENSMUSG00000113631.1	NA	ENSMUSG00000113631.1	NA	NA	434.4328431311517	-0.28703059233046246	0.16224535540717216	1.40059205796038e-4	0.016378999198563084
ENSMUSG00000038264.8	Sema7a	Sema7a	20361	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	36.10987926761714	-0.4151334734228818	0.4948334157045113	1.5031264733434788e-4	0.01741379043323903
ENSMUSG00000028943.18	Espn	Espn	56226	espin	103.35517969925303	0.39684470657299664	0.32821158524975136	1.5883793601134636e-4	0.01808521293686768
ENSMUSG00000033088.19	Triobp	Triobp	110253	TRIO and F-actin binding protein	1416.7164085089	0.20861331075333336	0.11327288047740026	1.5902615441421242e-4	0.01808521293686768
ENSMUSG00000024812.11	Tjp2	Tjp2	21873	tight junction protein 2	239.65844939184262	-0.3488995440249215	0.21971950187374223	1.6772195280932568e-4	0.01866831572365005
ENSMUSG00000006575.14	Rundc3a	Rundc3a	51799	RUN domain containing 3A	135.97750119319153	0.36474103857915824	0.24058397370234905	1.6774114413463015e-4	0.01866831572365005
ENSMUSG00000020638.8	Cmpk2	Cmpk2	22169	cytidine/uridine monophosphate kinase 2	912.8926517436455	0.35469419861792995	0.22709316076490135	1.686714553927723e-4	0.01866831572365005
ENSMUSG00000022912.8	Pros1	Pros1	19128	protein S (alpha)	98.96972076248139	0.386819905931217	0.3392974773551506	1.7591712395351557e-4	0.019297952818829903
ENSMUSG00000110279.1	NA	ENSMUSG00000110279.1	NA	NA	4536.2586826361085	0.23462728428818963	0.13446502062342353	1.780570759433969e-4	0.019361364152582
ENSMUSG00000068129.5	Cst7	Cst7	13011	cystatin F (leukocystatin)	6052.444021715448	-0.17557060986554632	0.08821537913096238	1.803311096607468e-4	0.01943812552482276
ENSMUSG00000083863.1	NA	ENSMUSG00000083863.1	NA	NA	237.595262410955	-0.33307007337464956	0.20947769523572102	1.8292748963186619e-4	0.019548010012729423
ENSMUSG00000022584.14	Ly6c2	Ly6c2	100041546	lymphocyte antigen 6 family memberC2	56435.99829468412	-0.18756360163363522	0.09986238409714099	1.9279831687089348e-4	0.02042673449514184
ENSMUSG00000042978.11	Sbk1	Sbk1	104175	SH3-binding kinase 1	3037.698502564601	0.19891035306809615	0.11010108838864278	2.007487639225444e-4	0.02108882777613441
ENSMUSG00000024187.15	Fam234a	Fam234a	106581	family with sequence similarity 234, member A	697.9792302006113	0.2638697128423263	0.15869967398344514	2.0283388177684902e-4	0.02112881343282202
ENSMUSG00000044629.5	Cnrip1	Cnrip1	380686	cannabinoid receptor interacting protein 1	277.57899430475686	0.31201851343313963	0.19657803031819793	2.045541815272083e-4	0.021130446951760615
ENSMUSG00000079227.10	Ccr5	Ccr5	12774	C-C motif chemokine receptor 5	5655.366710667252	-0.23533378123542267	0.13866292495803517	2.0643244370837927e-4	0.02114823613395925
ENSMUSG00000002105.15	Slc39a13	Slc39a13	68427	solute carrier family 39 (metal ion transporter), member 13	496.5883552626576	0.25844969139284935	0.15659886117145758	2.1452777489476167e-4	0.021797428668815292
ENSMUSG00000094796.2	BC147527	BC147527	625360	cDNA sequence BC147527	1188.2991922545411	0.2022336132029335	0.11542229956183388	2.2841106336085747e-4	0.023019378385538126
ENSMUSG00000001467.5	Cyp51	Cyp51	13121	cytochrome P450, family 51	482.075513281769	0.2753610456595861	0.17458145069891945	2.458333574419463e-4	0.024303820209756785
ENSMUSG00000031708.17	Tecr	Tecr	106529	trans-2,3-enoyl-CoA reductase	5993.800560684174	0.1746479351171121	0.09237975758473306	2.4608981282187167e-4	0.024303820209756785
ENSMUSG00000040945.13	Rcc2	Rcc2	108911	regulator of chromosome condensation 2	1576.8878321417315	-0.20508254332742581	0.1194716604714122	2.47037862732281e-4	0.024303820209756785
ENSMUSG00000032640.10	Chsy1	Chsy1	269941	chondroitin sulfate synthase 1	10966.044812632768	-0.190848177463435	0.10756059548533323	2.5030657968648723e-4	0.024431498911761385
ENSMUSG00000029311.16	Hsd17b11	Hsd17b11	114664	hydroxysteroid (17-beta) dehydrogenase 11	864.645107669528	0.25714340684739856	0.1627416467015694	2.640255898909127e-4	0.025569228220998073
ENSMUSG00000056054.9	S100a8	S100a8	20201	S100 calcium binding protein A8 (calgranulin A)	13.940550406539764	-0.11364102360366057	0.5554699742785301	2.8431332975251697e-4	NA
ENSMUSG00000026991.20	Pkp4	Pkp4	227937	plakophilin 4	416.97974905352044	-0.3055850061283967	0.2123784672575823	2.8549731947268226e-4	0.027434300559561
ENSMUSG00000105987.4	NA	ENSMUSG00000105987.4	NA	NA	2947.4626862988794	-0.1591453683071872	0.07975429611181808	2.940386663800472e-4	0.028037717757285117
ENSMUSG00000021675.4	F2rl2	F2rl2	14064	coagulation factor II thrombin receptor like 2	1159.2812612372734	-0.2024423787817327	0.121870564632699	3.022983472120642e-4	0.02860526955756296
ENSMUSG00000000594.7	Gm2a	Gm2a	14667	GM2 ganglioside activator protein	6906.860998918257	0.17105990946195687	0.09334504881597559	3.16533123600868e-4	0.029725337879972422
ENSMUSG00000024048.15	Myl12a	Myl12a	67268	myosin, light chain 12A, regulatory, non-sarcomeric	7172.234340917297	-0.15493301899444695	0.07663568034060217	3.2112138122050455e-4	0.02992947850834116
ENSMUSG00000068329.12	Htra2	Htra2	64704	HtrA serine peptidase 2	539.7687646080689	0.24436029070730628	0.16061702380035406	3.322241204232589e-4	0.030733210423632223
ENSMUSG00000034269.12	Setd5	Setd5	72895	SET domain containing 5	2494.4585042253993	-0.24143303574132144	0.15972835457934645	3.473333419149853e-4	0.03185182653291034
ENSMUSG00000086583.3	Gm15500	Gm15500	100043295	ribosomal protein L5 pseudogene	697.0755043704119	-0.31334578415786174	0.257112207026151	3.494553411161509e-4	0.03185182653291034
ENSMUSG00000031029.6	Eif3f	Eif3f	66085	eukaryotic translation initiation factor 3, subunit F	5268.646911834336	-0.17304757482056082	0.09799679314325553	3.6249164371078004e-4	0.03279887894480898
ENSMUSG00000093674.7	Rpl41	Rpl41	67945	ribosomal protein L41	34572.03316956435	-0.23779180705835884	0.16075226084700442	3.884557956318583e-4	0.03489346407719214
ENSMUSG00000057278.8	Snrpg	Snrpg	68011	small nuclear ribonucleoprotein polypeptide G	3656.7760545931174	-0.16875632218674155	0.09657624472445743	4.2176347670652296e-4	0.03730066981077047
ENSMUSG00000031490.6	Eif4ebp1	Eif4ebp1	13685	eukaryotic translation initiation factor 4E binding protein 1	787.8273110505685	0.23388191065104366	0.1604105865426561	4.2241394286526943e-4	0.03730066981077047
ENSMUSG00000002204.9	Napsa	Napsa	16541	napsin A aspartic peptidase	118.07397131137041	0.2952145217979358	0.29796406529086944	4.258831016687249e-4	0.03730066981077047
ENSMUSG00000094212.3	Trav14-3	Trav14-3	547330	T cell receptor alpha variable 14-3	157.70878341903457	-0.2949285758097391	0.2976819636442565	4.2729066740314673e-4	0.03730066981077047
ENSMUSG00000031320.9	Rps4x	Rps4x	20102	ribosomal protein S4, X-linked	10445.607579678883	-0.1720500868595433	0.10097132525898642	4.388760215940856e-4	0.038044106039722275
ENSMUSG00000064373.12	Selenop	Selenop	20363	selenoprotein P	1818.2640417492369	0.23458141121137507	0.16356123741074127	4.483052915946255e-4	0.03854436723338954
ENSMUSG00000091405.2	H4c14	H4c14	97122	H4 clustered histone 14	352.9390127074496	-0.28888211879354075	0.24000115196950625	4.5086586389492446e-4	0.03854436723338954
ENSMUSG00000009670.11	Tex11	Tex11	83558	testis expressed gene 11	4.485849350064277	-0.08301998997914328	0.548170151022209	4.5139734086573497e-4	NA
ENSMUSG00000047586.4	Nccrp1	Nccrp1	233038	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)	70.19864055014011	-0.2707597299704058	0.3527399108205955	4.6278122423528957e-4	0.039292027778223625
ENSMUSG00000028412.17	Slc44a1	Slc44a1	100434	solute carrier family 44, member 1	229.06507474270927	0.2716782442302391	0.2138521628319502	4.886789597713597e-4	0.04117324682271619
ENSMUSG00000083757.2	NA	ENSMUSG00000083757.2	NA	NA	128.40304292832016	-0.2838669848337285	0.24652528419623565	4.915811979478861e-4	0.04117324682271619
